Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01,Parts per billion,19.1304345,32.5,17.0,30.5,Parts per million,0.0094375,0.019,9.5,16.0,Parts per billion,1.6961035,3.0,11.0,5.0,Parts per million,0.8288949999999999,1.65,8.5,16.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-02,Parts per billion,17.108696000000002,32.5,18.0,31.0,Parts per million,0.017458,0.029,10.0,24.5,Parts per billion,1.4522725,2.65,8.0,4.0,Parts per million,0.697192,1.25,8.0,12.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-03,Parts per billion,15.608695499999998,31.5,14.0,29.5,Parts per million,0.0239375,0.0385,10.0,32.5,Parts per billion,1.3785715,2.5,11.0,4.0,Parts per million,0.4979165,0.8500000000000001,7.0,8.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-04,Parts per billion,11.03442025,24.0,10.25,23.0,Parts per million,0.0298125,0.040999999999999995,10.0,35.0,Parts per billion,1.57857175,3.0,11.0,5.0,Parts per million,0.38200775,0.55,6.0,6.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-05,Parts per billion,9.2708335,19.0,12.0,18.0,Parts per million,0.0320415,0.0425,10.0,36.0,Parts per billion,1.4642855,3.0,11.0,4.5,Parts per million,0.3852355,0.5,5.5,5.5
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-06,Parts per billion,10.35869575,18.5,9.25,17.5,Parts per million,0.028895999999999998,0.045,10.5,38.0,Parts per billion,1.43354,2.9,10.0,5.0,Parts per million,0.34365924999999997,0.45,5.25,5.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-07,Parts per billion,7.978260499999999,15.5,14.0,14.5,Parts per million,0.025208,0.04,10.0,34.0,Parts per billion,1.549351,3.0,10.0,4.5,Parts per million,0.338225,0.4,6.0,5.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-08,Parts per billion,11.509058,19.0,10.5,18.0,Parts per million,0.0255625,0.04,10.0,34.0,Parts per billion,1.5017045,3.45,11.0,6.0,Parts per million,0.3417575,0.45,6.0,5.0
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-09,Parts per billion,13.445652250000002,27.0,19.0,25.5,Parts per million,0.0248125,0.043,10.0,36.25,Parts per billion,1.58958325,3.825,11.0,6.0,Parts per million,0.397826,0.625,6.5,6.25
,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-10,Parts per billion,16.217391,29.0,17.0,27.0,Parts per million,0.019791999999999997,0.034,10.0,29.0,Parts per billion,1.3233765,3.65,9.0,6.0,Parts per million,0.4625,0.75,7.0,8.0
